Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6
2016,trump,1096,clinton,643,putin,30,biden,6,,,,
2017,trump,826,clinton,193,putin,30,netanyahu,3,,,,
2018,trump,1296,clinton,166,putin,50,netanyahu,6,xi,2.0,,
2019,trump,2586,biden,422,clinton,271,putin,50,netanyahu,4.0,xi,2.0
2020,trump,3693,biden,493,clinton,154,putin,21,xi,7.0,,
2021,trump,2250,biden,284,clinton,52,putin,10,netanyahu,1.0,,
2022,trump,1562,biden,223,putin,130,clinton,81,xi,8.0,,
2023,trump,948,biden,185,putin,31,clinton,21,xi,3.0,netanyahu,1.0
2024,trump,1537,biden,333,clinton,41,putin,25,netanyahu,8.0,,
