Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6
2016,trump,393,clinton,180,putin,14,xi,1,,,,
2017,trump,4722,clinton,264,putin,153,netanyahu,17,xi,14.0,biden,1.0
2018,trump,3344,clinton,166,putin,84,netanyahu,16,xi,2.0,,
2019,trump,1843,putin,65,biden,51,clinton,50,netanyahu,16.0,xi,4.0
2020,trump,1332,biden,84,putin,29,clinton,14,xi,1.0,,
2021,trump,360,biden,45,putin,10,clinton,4,netanyahu,4.0,,
2022,trump,244,putin,51,biden,16,xi,3,,,,
2023,trump,196,biden,44,putin,7,clinton,4,xi,3.0,,
2024,trump,473,biden,32,putin,15,netanyahu,5,xi,3.0,,
