Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6
2016,trump,2021,clinton,1025,putin,260,xi,79,biden,14,netanyahu,4
2017,trump,6810,clinton,641,putin,572,xi,109,netanyahu,30,biden,1
2018,trump,5953,clinton,528,putin,406,xi,110,netanyahu,29,biden,5
2019,trump,6086,biden,619,clinton,462,putin,327,xi,108,netanyahu,35
2020,trump,9470,biden,1551,putin,341,clinton,322,xi,158,netanyahu,4
2021,trump,4535,biden,1307,putin,226,clinton,86,xi,76,netanyahu,9
2022,trump,2891,putin,1568,biden,818,xi,169,clinton,132,netanyahu,4
2023,trump,1771,biden,688,putin,498,xi,87,clinton,81,netanyahu,27
2024,trump,3727,biden,1008,putin,401,clinton,104,xi,40,netanyahu,36
