Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,russia,207,ukraine,21,germany,15,latvia,8,sweden,8,france,7,iran,7,ussr,7,israel,7,china,6,netherlands,6,poland,3,egypt,2,lebanon,2,iraq,2,india,2,mexico,2,north korea,2,uganda,2,moldova,1,serbia,1,turkey,1,estonia,1,pakistan,1,libya,1,austria,1,slovakia,1,hungary,1,colombia,1,georgia,1
2017,russia,897,ukraine,53,germany,48,france,30,ussr,13,pakistan,10,china,10,estonia,8,lithuania,8,peru,6,turkey,5,georgia,5,finland,5,north korea,4,malaysia,4,sweden,4,jersey,4,mexico,4,italy,3,israel,3,poland,3,qatar,3,cyprus,2,uk,2,philippines,2,iran,2,india,2,kyrgyzstan,2,kazakhstan,2,hungary,2
2018,russia,1558,iran,109,ukraine,91,china,45,brazil,35,mexico,32,france,32,germany,23,india,19,georgia,16,sweden,14,north korea,11,myanmar,11,taiwan,8,israel,7,finland,7,turkey,7,singapore,6,pakistan,6,denmark,6,latvia,5,vietnam,5,ussr,4,zimbabwe,4,thailand,4,italy,4,philippines,4,montenegro,3,uk,3,nigeria,3
2019,russia,1669,china,321,ukraine,238,iran,214,india,50,germany,46,taiwan,32,venezuela,30,france,26,turkey,16,israel,15,brazil,14,qatar,13,uk,13,sweden,12,philippines,12,north korea,12,mexico,11,ussr,11,madagascar,9,australia,9,egypt,9,indonesia,9,sudan,8,libya,8,canada,7,italy,6,iraq,6,pakistan,6,myanmar,6
2020,russia,2264,china,914,ukraine,250,iran,194,taiwan,54,germany,37,france,35,georgia,34,brazil,21,turkey,20,mexico,19,philippines,18,chad,15,india,14,jersey,14,vietnam,13,libya,12,poland,12,afghanistan,11,venezuela,11,uk,11,north korea,11,canada,9,iraq,8,egypt,8,israel,8,myanmar,8,australia,8,cuba,7,italy,7
2021,russia,889,china,247,ukraine,192,iran,134,india,57,france,53,germany,47,israel,46,georgia,42,myanmar,28,brazil,25,romania,22,philippines,21,afghanistan,19,belarus,15,turkey,14,hungary,10,uk,10,taiwan,10,rwanda,10,australia,9,mexico,9,poland,8,iraq,7,bulgaria,7,sudan,5,north korea,5,spain,5,libya,4,kenya,4
2022,russia,2560,ukraine,1406,china,404,iran,80,germany,77,taiwan,60,india,41,france,39,uk,35,philippines,35,turkey,27,belarus,25,brazil,24,georgia,23,israel,22,canada,17,jordan,15,poland,15,finland,11,moldova,10,australia,9,sudan,9,sweden,8,ussr,8,estonia,7,slovakia,7,lithuania,6,libya,5,nicaragua,5,mexico,5
2023,russia,1069,china,473,ukraine,355,israel,107,france,53,india,48,taiwan,42,turkey,34,brazil,27,jordan,24,iran,20,germany,20,slovakia,17,sweden,17,mali,16,canada,15,georgia,14,sudan,13,mexico,12,uk,12,moldova,11,philippines,11,north korea,10,poland,9,malaysia,9,spain,9,south korea,8,niger,8,libya,7,venezuela,7
2024,russia,1378,china,402,ukraine,343,iran,166,israel,129,taiwan,83,france,78,germany,49,georgia,42,brazil,39,india,33,moldova,33,uk,19,canada,12,finland,9,north korea,9,jordan,8,iceland,8,serbia,8,japan,7,ecuador,7,belgium,6,qatar,6,mali,6,pakistan,6,spain,5,ireland,5,venezuela,5,norway,5,vietnam,4
