Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,russia,803,china,477,north korea,267,germany,189,iran,135,south korea,128,ukraine,119,turkey,103,france,76,iraq,62,israel,55,mexico,25,ussr,23,japan,22,yemen,21,libya,21,vietnam,20,pakistan,19,cuba,19,uk,18,afghanistan,13,india,12,taiwan,11,bangladesh,10,belgium,10,georgia,10,poland,9,somalia,8,brazil,8,spain,8
2017,russia,1761,north korea,540,china,369,germany,205,iran,130,ukraine,120,turkey,100,iraq,95,france,82,south korea,74,israel,50,ussr,48,afghanistan,27,japan,26,italy,22,india,21,vietnam,21,mexico,18,uk,17,spain,16,sweden,15,philippines,13,myanmar,13,guam,11,estonia,10,poland,9,canada,9,venezuela,9,pakistan,9,georgia,7
2018,russia,1396,china,678,north korea,675,south korea,182,germany,170,iran,123,ukraine,114,israel,94,france,55,turkey,52,ussr,46,myanmar,40,singapore,34,iraq,32,vietnam,26,japan,25,pakistan,22,india,20,mexico,19,taiwan,17,cuba,17,poland,17,italy,14,hungary,14,philippines,12,venezuela,11,canada,11,uk,11,cambodia,11,jordan,9
2019,china,1011,russia,814,iran,207,ukraine,153,north korea,150,germany,101,turkey,83,israel,64,india,57,iraq,52,france,33,pakistan,32,south korea,27,afghanistan,25,venezuela,22,poland,21,ussr,20,japan,20,taiwan,20,italy,17,vietnam,14,australia,14,uk,13,myanmar,12,yemen,12,cuba,11,canada,10,netherlands,10,spain,9,philippines,9
2020,china,1904,russia,825,iran,231,north korea,159,germany,146,ukraine,103,south korea,81,ussr,47,france,32,taiwan,27,italy,23,vietnam,23,afghanistan,22,india,21,israel,20,venezuela,19,belarus,18,iraq,17,georgia,16,mexico,15,armenia,15,japan,14,turkey,14,poland,13,cuba,12,somalia,11,canada,10,azerbaijan,10,australia,8,uk,7
2021,china,970,russia,454,germany,83,ukraine,83,north korea,75,iran,69,afghanistan,68,israel,52,india,48,south korea,39,france,34,taiwan,23,iraq,22,japan,18,ussr,17,myanmar,17,australia,16,pakistan,15,mexico,15,cuba,15,hungary,10,poland,9,georgia,8,belarus,8,greece,8,venezuela,8,turkey,8,canada,7,philippines,6,italy,6
2022,russia,4921,ukraine,2519,china,1201,germany,160,north korea,152,iran,103,france,63,israel,60,ussr,55,hungary,43,south korea,40,taiwan,40,georgia,29,turkey,28,afghanistan,27,poland,25,iraq,24,mexico,23,india,21,vietnam,21,australia,20,belarus,15,canada,13,latvia,12,mali,11,italy,11,uk,10,sweden,9,moldova,9,pakistan,7
2023,russia,1889,china,821,ukraine,755,israel,272,north korea,121,iran,85,india,79,germany,72,france,41,ussr,31,turkey,29,taiwan,27,south korea,26,poland,23,mexico,18,pakistan,15,hungary,13,niger,12,spain,12,italy,12,iraq,11,jordan,11,finland,10,afghanistan,10,slovakia,9,georgia,8,latvia,8,jersey,7,belgium,7,croatia,6
2024,russia,1687,china,699,ukraine,630,israel,333,north korea,147,iran,128,germany,110,south korea,82,france,52,afghanistan,32,india,30,taiwan,30,ussr,28,georgia,23,canada,15,japan,13,yemen,13,italy,12,poland,11,mexico,11,moldova,9,pakistan,8,sweden,8,netherlands,8,spain,7,australia,7,jordan,5,iraq,5,greece,4,venezuela,4
