Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,russia,138,china,31,indonesia,21,italy,17,germany,15,pakistan,8,austria,7,haiti,6,israel,6,ukraine,5,myanmar,4,canada,4,georgia,3,bulgaria,3,france,3,greece,3,romania,2,turkey,2,japan,2,hungary,2,india,2,colombia,2,philippines,2,yugoslavia,2,iran,1,north korea,1,estonia,1,south korea,1,brazil,1,afghanistan,1
2017,russia,1493,germany,281,china,157,france,121,sweden,49,ukraine,47,india,36,israel,31,mexico,25,poland,20,indonesia,19,vietnam,19,turkey,19,north korea,18,iraq,18,myanmar,16,qatar,16,iran,16,australia,15,philippines,14,georgia,12,jersey,12,uk,11,netherlands,11,ussr,10,south korea,9,hungary,9,kenya,8,italy,8,peru,7
2018,russia,700,india,115,china,84,france,74,germany,65,north korea,63,malaysia,61,mexico,53,egypt,52,philippines,42,israel,36,turkey,29,brazil,29,singapore,26,italy,26,ukraine,24,myanmar,23,switzerland,22,netherlands,22,libya,21,uk,18,venezuela,18,iran,14,cambodia,14,sweden,14,qatar,12,vietnam,11,hungary,11,jersey,10,slovakia,9
2019,russia,233,india,125,china,98,ukraine,68,iran,37,france,25,singapore,22,mexico,21,israel,21,germany,20,nigeria,18,philippines,16,myanmar,15,turkey,14,pakistan,14,north korea,13,egypt,12,brazil,10,indonesia,9,malaysia,8,vietnam,7,south korea,6,georgia,6,japan,5,ireland,5,cameroon,5,uk,5,tanzania,5,venezuela,5,kenya,4
2020,china,182,russia,165,afghanistan,35,turkey,23,brazil,16,germany,15,iran,15,singapore,14,india,13,poland,12,philippines,11,mexico,11,south korea,9,hungary,7,taiwan,7,greece,6,qatar,6,north korea,6,france,6,azerbaijan,5,cambodia,4,armenia,4,venezuela,4,iraq,4,ukraine,4,israel,4,georgia,3,bolivia,3,egypt,3,italy,3
2021,china,41,russia,30,belarus,14,india,12,france,11,singapore,11,germany,10,brazil,8,cambodia,8,malaysia,8,myanmar,8,ethiopia,7,poland,6,south korea,6,nigeria,4,turkey,4,pakistan,4,north korea,4,hungary,4,ireland,4,israel,4,philippines,4,georgia,3,bulgaria,3,iran,3,iraq,3,ussr,2,italy,2,mexico,1,netherlands,1
2022,russia,348,ukraine,126,china,40,turkey,10,india,9,brazil,9,germany,8,france,8,mexico,8,jordan,7,philippines,5,iran,5,taiwan,4,japan,3,vietnam,3,uk,3,chile,3,peru,3,cuba,3,hungary,3,north korea,3,poland,3,georgia,3,iraq,3,colombia,3,argentina,3,ussr,2,sudan,2,honduras,2,sweden,1
2023,russia,63,china,44,israel,28,ukraine,12,south korea,9,india,7,north korea,6,egypt,6,taiwan,5,brazil,5,mexico,4,mali,3,jersey,3,colombia,3,ireland,3,kyrgyzstan,3,france,3,vietnam,2,sudan,2,argentina,2,finland,2,canada,2,chile,2,germany,2,italy,2,thailand,2,nicaragua,1,iran,1,venezuela,1,paraguay,1
2024,russia,157,ukraine,40,china,40,israel,25,brazil,17,iran,13,south korea,12,pakistan,9,germany,9,france,8,north korea,6,egypt,5,chad,4,taiwan,4,ecuador,4,azerbaijan,3,venezuela,3,canada,2,mexico,2,jordan,2,myanmar,2,slovakia,2,guinea,2,nigeria,2,vietnam,2,japan,1,greece,1,italy,1,portugal,1,spain,1
