Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,russia,1257,china,550,north korea,272,germany,243,turkey,176,ukraine,176,iran,170,south korea,130,france,101,iraq,89,israel,78,mexico,42,ussr,36,pakistan,35,italy,29,indonesia,29,libya,29,japan,27,uk,25,georgia,24,cuba,21,india,21,yemen,21,kenya,20,vietnam,20,poland,18,colombia,17,brazil,15,afghanistan,14,egypt,13
2017,russia,4656,germany,587,north korea,576,china,569,france,280,ukraine,240,iran,167,turkey,157,iraq,119,israel,103,south korea,91,ussr,83,sweden,80,india,77,mexico,67,myanmar,53,vietnam,42,pakistan,41,italy,39,uk,38,japan,36,poland,36,georgia,33,philippines,31,afghanistan,30,indonesia,30,jersey,29,qatar,27,spain,26,kenya,25
2018,russia,4295,china,857,north korea,756,iran,322,germany,304,ukraine,258,india,222,france,211,israel,193,south korea,189,mexico,156,myanmar,117,turkey,115,brazil,93,philippines,70,malaysia,68,singapore,67,italy,65,egypt,57,ussr,54,iraq,50,pakistan,48,vietnam,46,uk,46,hungary,42,canada,38,sweden,37,japan,36,netherlands,36,georgia,33
2019,russia,3715,ukraine,1889,china,1491,iran,487,india,336,germany,194,north korea,182,israel,154,turkey,127,france,115,iraq,74,venezuela,70,pakistan,70,mexico,61,taiwan,56,brazil,50,philippines,48,singapore,48,myanmar,44,south korea,37,italy,36,uk,36,poland,35,australia,35,afghanistan,34,ussr,33,jordan,31,vietnam,29,jersey,26,indonesia,26
2020,russia,4014,china,3767,ukraine,632,iran,511,germany,307,georgia,274,north korea,187,france,135,india,126,south korea,126,taiwan,110,turkey,84,afghanistan,72,brazil,68,mexico,65,venezuela,59,israel,57,ussr,53,pakistan,51,italy,46,vietnam,46,philippines,44,singapore,42,poland,40,australia,39,canada,37,iraq,37,jersey,35,japan,34,uk,31
2021,russia,1612,china,1584,georgia,341,ukraine,319,india,265,germany,257,france,247,iran,226,israel,170,brazil,109,afghanistan,104,north korea,92,myanmar,90,australia,76,south korea,64,pakistan,56,mexico,52,turkey,43,iraq,41,philippines,41,poland,40,belarus,39,italy,37,hungary,37,romania,36,taiwan,36,japan,32,venezuela,30,uk,25,ussr,24
2022,russia,8800,ukraine,4800,china,1945,germany,371,georgia,239,iran,231,france,191,north korea,157,india,139,brazil,131,israel,120,taiwan,117,turkey,79,mexico,70,ussr,69,canada,65,philippines,64,australia,60,poland,60,uk,55,hungary,52,afghanistan,48,belarus,48,south korea,46,jordan,44,iraq,42,vietnam,35,sweden,30,italy,29,venezuela,23
2023,russia,3327,china,1615,ukraine,1268,israel,518,india,177,north korea,139,iran,129,germany,126,georgia,120,france,119,brazil,95,taiwan,85,turkey,83,jordan,75,mexico,62,finland,59,south korea,43,ussr,40,jersey,36,australia,36,poland,35,sweden,33,slovakia,31,canada,29,uk,26,pakistan,25,italy,23,spain,23,egypt,22,mali,21
2024,russia,3553,china,1301,ukraine,1192,israel,577,iran,343,germany,209,france,175,georgia,171,north korea,164,taiwan,132,south korea,107,india,106,brazil,86,pakistan,47,moldova,42,jordan,40,mexico,35,canada,33,afghanistan,33,uk,32,ussr,31,japan,23,italy,19,venezuela,18,poland,16,turkey,16,australia,15,slovakia,14,egypt,13,netherlands,13
