Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,russia,25,china,21,germany,14,france,8,colombia,6,peru,4,uk,4,australia,4,venezuela,3,india,3,brazil,3,japan,3,iraq,3,ussr,2,ireland,2,zambia,2,ethiopia,2,mexico,2,uruguay,2,turkey,2,indonesia,2,philippines,2,congo,2,malaysia,2,ukraine,2,north korea,2,kenya,1,israel,1,greece,1,south korea,1
2017,russia,229,france,38,germany,36,myanmar,24,china,16,sweden,11,mexico,8,north korea,8,uk,8,south korea,7,turkey,6,georgia,5,india,5,indonesia,5,ukraine,4,iran,4,chile,4,latvia,4,japan,3,malaysia,3,israel,3,netherlands,2,montenegro,2,cambodia,2,finland,2,haiti,2,italy,2,kuwait,1,qatar,1,canada,1
2018,russia,343,iran,68,india,58,myanmar,42,france,30,china,24,germany,21,mexico,21,brazil,20,ukraine,16,israel,16,italy,15,canada,15,uk,11,philippines,10,ireland,10,finland,8,sweden,6,poland,4,qatar,4,taiwan,4,pakistan,4,netherlands,4,kenya,3,japan,3,spain,3,thailand,3,georgia,3,lithuania,2,north korea,2
2019,russia,201,india,99,ukraine,53,china,30,brazil,18,germany,17,singapore,16,pakistan,14,israel,14,iran,13,myanmar,11,france,11,samoa,11,jersey,8,venezuela,8,mexico,7,philippines,7,congo,7,australia,6,iraq,5,sudan,5,uk,5,denmark,4,vietnam,4,spain,4,poland,4,bangladesh,4,turkey,4,canada,3,georgia,3
2020,russia,332,china,314,georgia,57,india,57,iran,37,south korea,27,ukraine,27,france,23,pakistan,23,taiwan,20,germany,19,brazil,17,singapore,16,australia,15,bolivia,14,mexico,13,north korea,11,myanmar,11,congo,11,japan,10,uk,9,canada,9,jersey,8,nigeria,8,venezuela,8,israel,7,philippines,7,denmark,7,samoa,7,vietnam,7
2021,china,149,india,143,russia,139,france,94,israel,48,georgia,47,australia,45,brazil,41,myanmar,34,germany,33,ukraine,20,pakistan,17,mexico,17,canada,11,uk,11,ethiopia,11,afghanistan,10,philippines,10,south korea,9,romania,9,turkey,8,bulgaria,8,vietnam,8,guinea,7,kenya,6,iran,6,italy,6,senegal,5,japan,5,iraq,4
2022,russia,581,ukraine,496,china,159,brazil,72,india,51,georgia,40,france,33,australia,28,germany,21,iran,19,philippines,19,canada,17,mexico,16,israel,15,poland,13,turkey,12,sweden,11,jordan,10,afghanistan,9,serbia,9,taiwan,9,vietnam,7,venezuela,6,uk,6,finland,5,colombia,5,italy,4,japan,4,moldova,4,myanmar,3
2023,russia,184,china,141,israel,76,ukraine,70,finland,47,india,34,brazil,28,iran,23,georgia,19,australia,17,jersey,17,turkey,16,jordan,12,sweden,11,mexico,9,germany,8,uk,8,chile,7,taiwan,7,france,6,denmark,6,ireland,6,norway,5,singapore,5,egypt,4,bulgaria,4,estonia,4,italy,4,iraq,4,colombia,3
2024,russia,158,china,96,ukraine,81,georgia,44,israel,43,jordan,21,brazil,21,india,21,iran,20,taiwan,13,germany,12,uk,8,turkey,8,australia,7,argentina,7,france,7,rwanda,6,pakistan,6,qatar,6,mexico,5,norway,4,haiti,4,nigeria,4,venezuela,4,samoa,3,bangladesh,2,egypt,2,peru,2,denmark,2,slovakia,2
