term,date,count
misinformation,1999-05,26
misinformation,1999-06,33
misinformation,1999-07,40
misinformation,1999-08,36
misinformation,1999-09,25
misinformation,1999-10,28
misinformation,1999-11,37
misinformation,1999-12,32
misinformation,2000-01,26
misinformation,2000-02,41
misinformation,2000-03,42
misinformation,2000-04,50
misinformation,2000-05,23
misinformation,2000-06,45
misinformation,2000-07,35
misinformation,2000-08,49
misinformation,2000-09,35
misinformation,2000-10,33
misinformation,2000-11,37
misinformation,2000-12,29
misinformation,2001-01,18
misinformation,2001-02,24
misinformation,2001-03,26
misinformation,2001-04,53
misinformation,2001-05,45
misinformation,2001-06,38
misinformation,2001-07,18
misinformation,2001-08,29
misinformation,2001-09,40
misinformation,2001-10,45
misinformation,2001-11,29
misinformation,2001-12,26
misinformation,2002-01,36
misinformation,2002-02,63
misinformation,2002-03,50
misinformation,2002-04,29
misinformation,2002-05,31
misinformation,2002-06,29
misinformation,2002-07,27
misinformation,2002-08,42
misinformation,2002-09,37
misinformation,2002-10,36
misinformation,2002-11,35
misinformation,2002-12,20
misinformation,2003-01,17
misinformation,2003-02,35
misinformation,2003-03,38
misinformation,2003-04,36
misinformation,2003-05,38
misinformation,2003-06,36
misinformation,2003-07,32
misinformation,2003-08,43
misinformation,2003-09,36
misinformation,2003-10,33
misinformation,2003-11,27
misinformation,2003-12,19
misinformation,2004-01,21
misinformation,2004-02,19
misinformation,2004-03,40
misinformation,2004-04,29
misinformation,2004-05,51
misinformation,2004-06,36
misinformation,2004-07,44
misinformation,2004-08,28
misinformation,2004-09,29
misinformation,2004-10,36
misinformation,2004-11,29
misinformation,2004-12,31
misinformation,2005-01,17
misinformation,2005-02,20
misinformation,2005-03,18
misinformation,2005-04,26
misinformation,2005-05,36
misinformation,2005-06,23
misinformation,2005-07,24
misinformation,2005-08,26
misinformation,2005-09,35
misinformation,2005-10,29
misinformation,2005-11,31
misinformation,2005-12,30
misinformation,2006-01,39
misinformation,2006-02,29
misinformation,2006-03,47
misinformation,2006-04,37
misinformation,2006-05,18
misinformation,2006-06,47
misinformation,2006-07,29
misinformation,2006-08,28
misinformation,2006-09,24
misinformation,2006-10,31
misinformation,2006-11,24
misinformation,2006-12,20
misinformation,2007-01,20
misinformation,2007-02,32
misinformation,2007-03,50
misinformation,2007-04,22
misinformation,2007-05,41
misinformation,2007-06,36
misinformation,2007-07,35
misinformation,2007-08,22
misinformation,2007-09,18
misinformation,2007-10,37
misinformation,2007-11,45
misinformation,2007-12,33
misinformation,2008-01,34
misinformation,2008-02,25
misinformation,2008-03,30
misinformation,2008-04,37
misinformation,2008-05,33
misinformation,2008-06,58
misinformation,2008-07,34
misinformation,2008-08,30
misinformation,2008-09,50
misinformation,2008-10,31
misinformation,2008-11,29
misinformation,2008-12,19
misinformation,2009-01,22
misinformation,2009-02,26
misinformation,2009-03,30
misinformation,2009-04,24
misinformation,2009-05,28
misinformation,2009-06,26
misinformation,2009-07,33
misinformation,2009-08,104
misinformation,2009-09,61
misinformation,2009-10,26
misinformation,2009-11,30
misinformation,2009-12,28
misinformation,2010-01,22
misinformation,2010-02,16
misinformation,2010-03,55
misinformation,2010-04,42
misinformation,2010-05,21
misinformation,2010-06,26
misinformation,2010-07,27
misinformation,2010-08,32
misinformation,2010-09,37
misinformation,2010-10,38
misinformation,2010-11,51
misinformation,2010-12,36
misinformation,2011-01,38
misinformation,2011-02,27
misinformation,2011-03,40
misinformation,2011-04,40
misinformation,2011-05,30
misinformation,2011-06,30
misinformation,2011-07,19
misinformation,2011-08,32
misinformation,2011-09,48
misinformation,2011-10,34
misinformation,2011-11,35
misinformation,2011-12,23
misinformation,2012-01,54
misinformation,2012-02,37
misinformation,2012-03,23
misinformation,2012-04,21
misinformation,2012-05,47
misinformation,2012-06,32
misinformation,2012-07,32
misinformation,2012-08,23
misinformation,2012-09,34
misinformation,2012-10,26
misinformation,2012-11,40
misinformation,2012-12,41
misinformation,2013-01,304
misinformation,2013-02,25
misinformation,2013-03,24
misinformation,2013-04,56
misinformation,2013-05,28
misinformation,2013-06,30
misinformation,2013-07,53
misinformation,2013-08,51
misinformation,2013-09,40
misinformation,2013-10,37
misinformation,2013-11,53
misinformation,2013-12,32
misinformation,2014-01,183
misinformation,2014-02,24
misinformation,2014-03,46
misinformation,2014-04,48
misinformation,2014-05,49
misinformation,2014-06,63
misinformation,2014-07,62
misinformation,2014-08,57
misinformation,2014-09,59
misinformation,2014-10,86
misinformation,2014-11,38
misinformation,2014-12,27
misinformation,2015-01,95
misinformation,2015-02,43
misinformation,2015-03,39
misinformation,2015-04,47
misinformation,2015-05,31
misinformation,2015-06,58
misinformation,2015-07,65
misinformation,2015-08,40
misinformation,2015-09,54
misinformation,2015-10,42
misinformation,2015-11,68
misinformation,2015-12,40
misinformation,2016-01,121
misinformation,2016-02,67
misinformation,2016-03,33
misinformation,2016-04,44
misinformation,2016-05,53
misinformation,2016-06,48
misinformation,2016-07,51
misinformation,2016-08,44
misinformation,2016-09,44
misinformation,2016-10,59
misinformation,2016-11,194
misinformation,2016-12,162
misinformation,2017-01,134
misinformation,2017-02,124
misinformation,2017-03,111
misinformation,2017-04,163
misinformation,2017-05,125
misinformation,2017-06,90
misinformation,2017-07,59
misinformation,2017-08,84
misinformation,2017-09,183
misinformation,2017-10,269
misinformation,2017-11,171
misinformation,2017-12,94
misinformation,2018-01,162
misinformation,2018-02,214
misinformation,2018-03,191
misinformation,2018-04,213
misinformation,2018-05,185
misinformation,2018-06,124
misinformation,2018-07,220
misinformation,2018-08,269
misinformation,2018-09,211
misinformation,2018-10,285
misinformation,2018-11,357
misinformation,2018-12,249
misinformation,2019-01,262
misinformation,2019-02,281
misinformation,2019-03,357
misinformation,2019-04,413
misinformation,2019-05,266
misinformation,2019-06,256
misinformation,2019-07,207
misinformation,2019-08,282
misinformation,2019-09,230
misinformation,2019-10,312
misinformation,2019-11,312
misinformation,2019-12,232
misinformation,2020-01,339
misinformation,2020-02,430
misinformation,2020-03,775
misinformation,2020-04,570
misinformation,2020-05,621
misinformation,2020-06,571
misinformation,2020-07,520
misinformation,2020-08,740
misinformation,2020-09,761
misinformation,2020-10,1469
misinformation,2020-11,1290
misinformation,2020-12,762
misinformation,2021-01,951
misinformation,2021-02,733
misinformation,2021-03,734
misinformation,2021-04,475
misinformation,2021-05,547
misinformation,2021-06,359
misinformation,2021-07,1315
misinformation,2021-08,884
misinformation,2021-09,831
misinformation,2021-10,1214
misinformation,2021-11,690
misinformation,2021-12,588
misinformation,2022-01,927
misinformation,2022-02,937
misinformation,2022-03,723
misinformation,2022-04,658
misinformation,2022-05,519
misinformation,2022-06,483
misinformation,2022-07,303
misinformation,2022-08,641
misinformation,2022-09,507
misinformation,2022-10,832
misinformation,2022-11,1020
misinformation,2022-12,395
misinformation,2023-01,526
misinformation,2023-02,448
misinformation,2023-03,363
misinformation,2023-04,423
misinformation,2023-05,342
misinformation,2023-06,376
misinformation,2023-07,470
misinformation,2023-08,271
misinformation,2023-09,326
misinformation,2023-10,439
misinformation,2023-11,323
misinformation,2023-12,277
misinformation,2024-01,324
misinformation,2024-02,365
misinformation,2024-03,404
misinformation,2024-04,282
misinformation,2024-05,247
misinformation,2024-06,273
misinformation,2024-07,334
misinformation,2024-08,464
misinformation,2024-09,543
misinformation,2024-10,798
misinformation,2024-11,539
misinformation,2024-12,240
misinformation,2025-01,578
misinformation,2025-02,266
misinformation,2025-03,257
misinformation,2025-04,218
misinformation,2025-05,0
misinformation,2025-06,0
misinformation,2025-07,0
disinformation,1980-01,0
disinformation,1980-02,0
disinformation,1980-03,0
disinformation,1980-04,0
disinformation,1980-05,0
disinformation,1980-06,3
disinformation,1980-07,0
disinformation,1980-08,0
disinformation,1980-09,3
disinformation,1980-10,3
disinformation,1980-11,0
disinformation,1980-12,1
disinformation,1981-01,0
disinformation,1981-02,3
disinformation,1981-03,2
disinformation,1981-04,14
disinformation,1981-05,7
disinformation,1981-06,6
disinformation,1981-07,7
disinformation,1981-08,27
disinformation,1981-09,10
disinformation,1981-10,12
disinformation,1981-11,6
disinformation,1981-12,6
disinformation,1982-01,2
disinformation,1982-02,1
disinformation,1982-03,3
disinformation,1982-04,2
disinformation,1982-05,2
disinformation,1982-06,2
disinformation,1982-07,4
disinformation,1982-08,0
disinformation,1982-09,0
disinformation,1982-10,4
disinformation,1982-11,3
disinformation,1982-12,9
disinformation,1983-01,0
disinformation,1983-02,6
disinformation,1983-03,3
disinformation,1983-04,6
disinformation,1983-05,10
disinformation,1983-06,1
disinformation,1983-07,3
disinformation,1983-08,3
disinformation,1983-09,4
disinformation,1983-10,1
disinformation,1983-11,8
disinformation,1983-12,8
disinformation,1984-01,9
disinformation,1984-02,12
disinformation,1984-03,3
disinformation,1984-04,2
disinformation,1984-05,6
disinformation,1984-06,11
disinformation,1984-07,13
disinformation,1984-08,10
disinformation,1984-09,2
